filename,i,run_time,total_loss,content_loss,style_loss,learning_rate,iters,alpha,beta,noise_ratio,optimizer,new_width,pool_method,pool_stride,last_style_loss_layer_w,style_num_layers,content_layer_num
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta1_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.2.jpg,100,1.17292347,217781.2813,0.034573916,217781.25,1,100,1,1,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta10_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.2.jpg,100,1.219528272,2253664.5,0.034626488,225366.4531,1,100,1,10,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.3.jpg,100,1.255195918,22036236,0.03487834,220362.3594,1,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_max_ps2_sllw0.2_snl5_cln4_time1.4.jpg,100,1.401986127,1002764096,0.235336348,10027641,1000,100,1,100,0.1,lbfgs,300,max,2,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_max_ps5_sllw0.2_snl5_cln4_time1.3.jpg,100,1.339512994,43633577984,88.95563507,436335776,1000,100,1,100,0.1,lbfgs,300,max,5,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_max_ps20_sllw0.2_snl5_cln4_time1.4.jpg,100,1.375746231,1071143616,0.371915907,10711436,1000,100,1,100,0.1,lbfgs,300,max,20,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.5.jpg,100,1.51472851,21688554,0.034415439,216885.5469,1000,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps5_sllw0.2_snl5_cln4_time1.5.jpg,100,1.47077244,4024705,0.878832638,40247.03906,1000,100,1,100,0.1,lbfgs,300,avg,5,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps20_sllw0.2_snl5_cln4_time1.5.jpg,100,1.477512853,159851.8281,0.000806851,1598.518311,1000,100,1,100,0.1,lbfgs,300,avg,20,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time1.6.jpg,100,1.597500379,21410204,0.034731753,214102.0313,1000,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps3_sllw0.2_snl5_cln4_time1.6.jpg,100,1.563697722,30165110,0.219385177,301651.0938,1000,100,1,100,0.1,lbfgs,300,avg,3,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps5_sllw0.2_snl5_cln4_time1.6.jpg,100,1.596270263,4045146.75,0.879110336,40451.45703,1000,100,1,100,0.1,lbfgs,300,avg,5,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps10_sllw0.2_snl5_cln4_time1.6.jpg,100,1.603849075,603416.75,0.544647574,6034.161621,1000,100,1,100,0.1,lbfgs,300,avg,10,,5,4
tubingen_starry_night_w300_i100_lr1000_alpha1_beta100_nr0.1_lbfgs_avg_ps20_sllw0.2_snl5_cln4_time1.6.jpg,100,1.646846793,158408.7344,0.000809825,1584.08728,1000,100,1,100,0.1,lbfgs,300,avg,20,,5,4
tubingen_starry_night_w200_i20_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time2.1.jpg,20,2.073012102,231712896,0.058938935,2317129,1,20,1,100,0.1,lbfgs,200,avg,2,,5,4
